HCPCS,DESCRIPTION,STATUS CODE,WORK RVU
0001F,Heart failure composite,I,0
0005F,Osteoarthritis composite,I,0
100,Anesth salivary gland,J,0
102,Anesth repair of cleft lip,J,0
103,Anesth blepharoplasty,J,0
104,Anesth electroshock,J,0
120,Anesth ear surgery,J,0
124,Anesth ear exam,J,0
126,Anesth tympanotomy,J,0
0012F,Cap bacterial assess,I,0
140,Anesth procedures on eye,J,0
142,Anesth lens surgery,J,0
144,Anesth corneal transplant,J,0
145,Anesth vitreoretinal surg,J,0
147,Anesth iridectomy,J,0
148,Anesth eye exam,J,0
0014F,Comp preop assess cat surg,I,0
0015F,Melan follow-up complete,I,0
160,Anesth nose/sinus surgery,J,0
162,Anesth nose/sinus surgery,J,0
164,Anesth biopsy of nose,J,0
170,Anesth procedure on mouth,J,0
172,Anesth cleft palate repair,J,0
174,Anesth pharyngeal surgery,J,0
176,Anesth pharyngeal surgery,J,0
190,Anesth face/skull bone surg,J,0
192,Anesth facial bone surgery,J,0
210,Anesth cranial surg nos,J,0
211,Anesth cran surg hemotoma,J,0
212,Anesth skull drainage,J,0
214,Anesth skull drainage,J,0
215,Anesth skull repair/fract,J,0
216,Anesth head vessel surgery,J,0
218,Anesth special head surgery,J,0
220,Anesth intrcrn nerve,J,0
222,Anesth head nerve surgery,J,0
300,Anesth head/neck/ptrunk,J,0
320,Anesth neck organ 1yr/>,J,0
322,Anesth biopsy of thyroid,J,0
326,Anesth larynx/trach < 1 yr,J,0
350,Anesth neck vessel surgery,J,0
352,Anesth neck vessel surgery,J,0
400,Anesth skin ext/per/atrunk,J,0
402,Anesth surgery of breast,J,0
404,Anesth surgery of breast,J,0
406,Anesth surgery of breast,J,0
410,Anesth correct heart rhythm,J,0
0042T,Ct perfusion w/contrast cbf,C,0
450,Anesth surgery of shoulder,J,0
454,Anesth collar bone biopsy,J,0
470,Anesth removal of rib,J,0
472,Anesth chest wall repair,J,0
474,Anesth surgery of rib,J,0
500,Anesth esophageal surgery,J,0
520,Anesth chest procedure,J,0
522,Anesth chest lining biopsy,J,0
524,Anesth chest drainage,J,0
528,Anes mediascpy & dx thorscpy,J,0
529,Anes medscpy&thorscpy 1 lung,J,0
530,Anesth pacemaker insertion,J,0
532,Anesth vascular access,J,0
534,Anesth cardioverter/defib,J,0
537,Anesth cardiac electrophys,J,0
539,Anesth trach-bronch reconst,J,0
540,Anesth chest surgery,J,0
541,Anesth one lung ventilation,J,0
542,Anesthesia removal pleura,J,0
546,Anesth lung chest wall surg,J,0
548,Anesth trachea bronchi surg,J,0
0054T,Bone srgry cmptr fluor image,C,0
550,Anesth sternal debridement,J,0
0055T,Bone srgry cmptr ct/mri imag,C,0
560,Anesth heart surg w/o pump,J,0
561,Anesth heart surg <1 yr,J,0
562,Anesth hrt surg w/pmp age 1+,J,0
563,Anesth heart surg w/arrest,J,0
566,Anesth cabg w/o pump,J,0
567,Anesth cabg w/pump,J,0
